date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:59:03	521080/521080	---M--	200	added ('OK')	font/woff	etag:%227f378-6074692238e3c%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/materialdesignicons-webfont.woff?v=6.5.95	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/materialdesignicons-webfont1d2d.woff	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:03	1147844/1147844	---M--	200	added ('OK')	font/ttf	etag:%221183c4-6074692238e3c%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/materialdesignicons-webfont.ttf?v=6.5.95	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/materialdesignicons-webfont1d2d.ttf	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:03	273368/273368	---M--	200	added ('OK')	font/ttf	etag:%2242bd8-607469222f1fb%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/boxicons.ttf	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/boxicons.ttf	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:04	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22207aa-607469223113b%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-brands-400.eot	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-brands-400.eot	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:04	975366/975366	---M--	200	added ('OK')	image/svg+xml	etag:%22ee206-607469222e25b%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/boxicons.svg?	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/boxiconsd41d.svg	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:04	133034/133034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22207aa-607469223113b%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-brands-400.eot?	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-brands-400d41d.eot	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:04	76612/76612	---M--	200	added ('OK')	font/woff2	etag:%2212b44-6074692234fbb%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-brands-400.woff2	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-brands-400.woff2	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:05	89824/89824	---M--	200	added ('OK')	font/woff	etag:%2215ee0-6074692234fbb%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-brands-400.woff	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-brands-400.woff	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:05	132728/132728	---M--	200	added ('OK')	font/ttf	etag:%2220678-607469223307b%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-brands-400.ttf	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-brands-400.ttf	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
15:59:06	34390/34390	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%228656-6074692234fbb%22	https://themesdesign.in/minia-symfony/layouts/assets/fonts/fa-regular-400.eot	C:/My%20Web%20Sites/TUXO-SAAS/themesdesign.in/minia-symfony/layouts/assets/fonts/fa-regular-400.eot	(from https://themesdesign.in/minia-symfony/layouts/assets/css/icons.min.css)
